attendance,study_hours,assignment_score,previous_exam_score,internal_test_score,sleep_hours,screen_time,assignments_completed,class_participation,previous_backlogs,performance
82.2,2.0,50.2,72.9,59.3,5.8,3.4,74.5,62.4,0,Average
78.2,4.0,62.3,57.9,46.8,9.7,5.0,82.8,57.7,1,Average
73.4,3.2,72.4,92.8,69.8,7.2,6.9,73.0,68.1,1,Good
86.6,3.9,69.7,79.8,76.7,6.0,2.6,88.4,77.3,0,Good
76.6,2.8,77.2,62.6,35.2,8.9,6.4,96.0,55.5,1,Average
60.2,1.0,51.8,49.6,50.1,5.9,3.8,73.5,24.4,3,Poor
62.3,2.5,62.0,36.2,63.5,5.5,5.6,62.6,31.2,1,Average
78.3,2.2,54.9,61.1,63.2,5.9,4.9,89.9,37.8,0,Average
74.6,3.1,66.7,61.7,70.0,6.3,5.4,62.8,51.8,0,Good
100,3.7,88.7,84.8,69.6,5.2,3.2,82.0,87.5,1,Good
73.4,0.5,64.6,23.6,49.2,6.7,6.5,61.2,51.1,5,Poor
86.3,4.7,75.4,68.8,66.2,8.7,4.0,87.4,95.6,0,Excellent
90.3,6.6,82.8,61.8,79.2,8.0,2.7,76.4,67.6,0,Excellent
79.2,3.6,63.0,67.9,54.5,5.9,4.4,83.7,62.4,1,Good
80.1,2.1,63.1,68.1,67.5,7.1,6.0,62.1,39.6,0,Average
97.0,3.7,73.4,74.1,73.0,6.0,5.3,61.7,69.8,0,Good
78.7,3.7,61.8,58.1,68.5,6.2,4.5,69.9,38.4,3,Average
77.0,1.5,82.4,71.3,65.2,6.8,2.3,72.4,84.3,0,Average
84.3,1.9,75.2,77.4,67.1,7.1,4.2,96.6,69.9,2,Good
81.1,0.5,54.0,60.6,44.8,6.0,4.3,49.8,48.9,3,Poor
81.6,2.0,56.6,51.0,66.7,7.2,5.6,68.8,60.2,1,Good
90.4,1.9,61.7,54.9,50.3,5.7,6.3,63.9,70.6,0,Average
81.3,1.3,62.6,62.2,64.3,6.6,2.5,80.5,49.5,2,Average
100,5.9,69.9,66.3,70.0,6.9,5.3,100,66.1,2,Good
83.8,7.3,91.6,67.0,92.6,7.2,4.6,100,91.9,0,Excellent
76.3,3.1,57.5,65.3,73.3,9.7,5.9,64.6,46.8,3,Average
85.2,0.5,58.1,56.8,60.6,6.7,4.0,91.8,49.8,2,Poor
73.7,1.5,64.5,51.5,46.3,6.6,6.7,38.9,42.3,4,Poor
81.6,2.2,47.7,55.2,63.8,8.1,6.0,55.9,48.2,2,Average
73.9,2.3,52.6,55.3,63.4,7.7,6.1,55.0,69.8,4,Average
86.5,5.1,79.6,66.1,51.8,8.3,2.2,72.3,58.9,1,Good
73.3,1.7,82.9,61.2,59.8,7.5,3.4,74.6,49.2,0,Average
91.3,5.6,99.6,63.6,64.2,8.0,6.5,76.5,100,0,Excellent
87.6,4.3,57.8,74.6,70.1,8.4,4.7,84.0,77.3,0,Good
94.3,4.5,64.3,63.6,78.0,7.4,5.1,75.6,67.6,1,Excellent
69.7,6.6,74.5,76.2,76.9,6.8,6.5,100,61.6,0,Excellent
73.1,0.9,62.3,75.2,87.3,5.2,3.7,53.7,43.2,1,Average
89.2,4.4,82.6,82.1,72.6,4.6,3.3,68.8,62.0,2,Good
79.8,3.7,62.7,68.1,50.5,6.5,1.7,87.8,56.9,0,Good
75.0,0.5,71.9,56.2,51.4,7.4,7.2,45.8,58.1,1,Average
96.4,3.3,79.9,64.7,78.6,7.6,5.1,89.8,80.7,1,Good
84.3,5.7,85.2,76.3,93.4,6.7,3.1,74.4,36.7,1,Excellent
77.8,0.8,66.0,59.3,44.8,6.1,4.6,44.3,60.9,2,Poor
89.1,5.3,67.4,80.2,77.1,6.6,3.1,86.6,91.6,0,Excellent
79.7,2.4,60.1,54.5,45.9,6.6,5.9,68.0,45.2,1,Average
75.1,1.8,50.3,42.7,56.7,7.3,5.6,63.6,19.8,3,Poor
86.8,3.2,100,78.3,84.8,9.0,2.2,85.8,58.2,1,Good
79.3,3.3,84.3,62.9,59.2,6.0,5.4,75.4,60.2,1,Average
67.7,1.8,75.8,38.6,44.7,8.1,7.1,67.3,38.8,2,Poor
94.9,2.9,79.9,83.5,93.3,8.6,4.7,70.9,64.2,0,Good
73.1,4.9,85.3,73.8,69.2,7.0,3.5,86.0,79.3,0,Excellent
84.2,2.6,64.8,82.7,66.5,7.1,7.6,82.0,47.0,1,Good
81.1,6.7,80.1,55.7,53.0,5.8,2.8,78.7,78.0,1,Good
76.3,3.4,72.0,65.4,63.9,5.7,3.0,95.7,74.5,2,Average
64.6,3.5,68.3,72.6,71.6,6.5,3.9,88.3,62.1,3,Good
94.4,4.7,78.3,77.0,83.1,7.3,4.9,100,90.6,0,Excellent
74.5,2.7,61.5,41.0,69.8,4.0,6.4,74.2,36.7,1,Poor
83.4,6.2,74.4,75.5,46.6,9.4,5.3,77.4,51.8,1,Good
67.2,2.5,70.4,66.6,71.4,6.2,5.3,55.3,52.9,3,Average
64.1,0.5,64.5,49.4,50.8,6.6,6.0,47.9,30.6,1,Poor
73.6,4.3,64.1,46.3,72.5,6.5,5.0,93.2,50.7,0,Good
72.9,0.5,50.2,38.8,34.0,4.5,4.7,73.6,25.6,5,Poor
71.4,3.4,79.0,78.4,62.0,6.2,2.0,64.3,48.3,3,Good
77.6,2.3,73.0,78.9,55.3,5.9,5.6,55.4,21.8,2,Average
58.7,4.1,68.8,55.6,78.6,8.5,6.8,65.4,44.5,1,Average
90.2,5.4,77.2,70.8,81.2,8.2,5.9,70.8,67.9,2,Excellent
85.0,5.9,65.6,83.3,79.9,9.3,5.3,92.2,79.4,0,Excellent
80.1,4.0,75.6,50.0,60.9,7.7,4.3,69.0,70.8,0,Good
73.3,3.8,78.9,78.5,80.0,6.9,4.9,80.6,85.5,2,Good
72.8,2.1,78.1,81.2,66.1,6.7,4.5,56.5,53.5,3,Average
57.2,1.3,57.6,46.6,61.8,8.0,5.8,63.3,42.1,0,Average
68.3,1.5,67.5,64.8,65.5,7.9,7.1,69.6,84.8,0,Average
65.6,0.5,49.6,52.6,52.6,5.5,3.0,48.6,41.4,3,Poor
86.0,4.4,74.6,83.6,84.7,4.9,3.8,90.4,68.0,0,Excellent
79.7,3.8,70.8,51.6,69.5,7.5,7.1,62.5,79.6,1,Good
82.8,1.7,70.5,77.0,60.7,7.2,6.3,100,53.7,1,Good
87.6,0.8,49.9,65.5,70.0,6.6,4.5,82.3,68.1,0,Good
91.3,6.2,90.9,94.8,99.8,6.7,6.3,83.6,99.6,1,Good
67.8,0.5,44.7,45.1,66.9,8.0,5.8,48.2,44.0,5,Poor
80.7,0.5,51.6,49.5,67.2,7.3,8.4,59.1,15.2,3,Poor
58.1,0.9,65.5,64.2,52.3,7.2,7.5,52.9,35.1,2,Poor
85.4,2.9,82.0,77.8,62.5,7.9,1.2,99.9,65.3,1,Good
54.2,3.1,62.2,46.7,53.2,7.0,4.3,44.1,28.1,4,Average
84.7,4.5,91.9,75.0,87.0,6.0,4.5,95.4,66.2,0,Excellent
81.1,3.6,66.8,63.9,85.1,5.1,5.3,62.4,25.7,3,Average
90.3,3.2,73.8,99.3,68.5,6.6,4.7,92.3,58.9,0,Excellent
98.8,4.6,72.0,76.3,92.4,9.3,2.5,92.1,74.1,1,Good
87.0,3.1,55.6,80.3,64.2,8.0,6.3,69.5,58.8,5,Average
85.2,3.0,56.0,61.7,73.7,6.8,3.2,100,77.9,1,Excellent
84.9,4.2,74.9,92.0,72.8,8.7,1.5,85.1,58.5,0,Excellent
79.9,4.3,68.7,66.3,77.9,7.1,5.2,96.0,61.7,1,Good
74.1,2.6,55.9,35.1,59.6,6.0,7.1,66.7,56.6,3,Poor
75.4,1.8,55.7,42.6,59.0,8.7,6.3,57.9,42.2,5,Poor
100,4.3,95.3,100,67.6,7.0,2.9,74.9,67.7,2,Excellent
82.7,5.0,84.3,81.0,66.0,8.4,5.3,97.5,72.3,1,Excellent
61.8,0.5,49.0,54.9,45.9,6.9,7.2,83.7,39.5,3,Poor
87.9,5.0,78.6,73.4,78.5,6.0,2.3,100,83.2,0,Excellent
64.9,2.4,69.3,56.7,54.1,8.5,7.9,74.1,7.8,3,Average
59.8,1.9,31.6,29.1,60.8,7.4,4.9,62.3,49.3,4,Poor
56.5,3.2,46.6,42.8,65.3,7.1,5.0,63.8,34.2,1,Average
75.9,0.8,68.7,74.1,62.9,6.9,7.6,61.3,49.7,3,Poor
98.6,3.5,62.1,74.5,80.1,6.3,6.0,70.5,90.4,1,Average
84.9,3.2,70.0,61.4,73.3,6.1,3.0,77.9,60.4,0,Good
68.7,0.5,61.4,51.2,54.9,6.2,7.9,59.7,17.1,1,Poor
80.0,2.7,65.2,68.9,78.2,6.1,4.5,67.4,69.0,3,Average
64.3,2.6,46.8,57.4,47.7,7.1,5.2,54.7,27.3,3,Average
64.0,1.3,59.3,56.0,70.7,6.4,3.2,66.8,21.8,3,Poor
56.5,3.2,64.5,59.5,67.2,7.5,4.0,80.8,63.5,1,Good
76.7,4.0,72.9,74.8,65.5,7.9,5.0,84.5,72.2,2,Good
90.7,4.7,84.3,63.4,83.6,7.5,2.9,87.6,83.8,0,Excellent
76.8,2.0,45.3,61.9,54.7,7.0,7.1,83.5,63.6,5,Poor
63.3,1.4,39.5,47.9,51.7,8.0,7.7,37.5,18.2,3,Poor
88.9,5.2,81.2,76.5,56.6,8.1,2.0,85.5,67.5,0,Excellent
83.5,0.5,51.4,61.5,43.8,8.0,6.3,68.1,64.6,4,Poor
80.2,6.2,84.0,86.1,84.4,7.3,1.1,92.7,67.6,0,Excellent
57.8,2.9,73.8,44.9,66.9,6.2,7.5,63.9,60.9,3,Poor
87.2,6.0,89.1,76.1,76.5,9.3,5.0,79.5,92.0,0,Excellent
72.8,0.5,51.5,63.6,44.0,7.0,7.9,52.1,22.9,1,Average
71.3,2.7,68.9,64.3,66.1,6.2,5.2,67.2,51.7,4,Average
73.7,0.6,51.8,42.8,47.8,6.3,5.6,43.7,24.3,3,Poor
99.0,3.7,81.7,84.6,67.4,6.9,3.3,63.9,89.2,0,Excellent
71.7,3.9,79.2,66.6,70.4,6.7,5.8,82.9,52.7,3,Good
67.7,1.5,68.7,53.1,62.2,8.2,3.6,61.1,68.3,3,Average
58.7,4.5,60.1,58.2,76.3,7.6,6.5,49.2,50.9,1,Average
71.8,2.0,53.5,55.0,53.6,5.7,5.0,59.7,37.2,3,Poor
97.1,5.3,64.6,84.9,59.4,6.0,5.1,89.7,88.1,0,Good
87.0,6.3,88.0,77.5,72.7,5.1,3.4,79.2,92.4,0,Excellent
68.5,4.1,79.0,53.4,64.0,6.4,3.6,95.0,73.6,0,Good
68.7,0.5,55.3,54.1,70.8,6.7,6.0,68.9,29.5,2,Average
56.9,1.4,56.8,57.7,43.2,6.5,6.7,58.1,31.9,1,Poor
81.4,6.0,71.5,49.0,76.8,8.2,1.5,100,48.9,1,Excellent
92.7,6.5,82.9,96.5,80.9,4.9,2.2,100,84.7,0,Excellent
85.8,2.4,62.5,55.8,58.9,6.8,5.3,75.0,46.5,0,Good
50.7,2.0,56.1,55.6,68.4,7.4,6.1,49.7,61.7,1,Average
72.1,2.2,58.1,39.9,46.0,8.3,4.4,73.1,39.7,3,Poor
72.9,3.5,56.4,56.0,51.2,6.2,5.8,88.9,49.5,3,Average
65.3,0.9,56.5,55.9,50.7,7.1,6.5,66.1,59.9,0,Average
75.3,1.3,52.6,43.3,40.1,6.2,9.6,50.4,52.3,3,Poor
57.5,5.0,64.1,40.9,46.2,7.5,5.3,79.6,38.6,2,Good
64.0,0.5,72.2,47.3,50.8,6.8,3.3,81.0,18.7,4,Poor
81.5,3.4,62.1,69.2,85.4,5.5,2.7,73.3,43.8,4,Average
92.4,1.5,65.9,73.9,80.6,5.1,5.2,63.4,54.0,1,Average
63.2,1.8,51.1,59.2,58.6,7.9,7.3,63.4,48.1,3,Average
68.6,1.6,61.0,71.8,59.6,5.0,7.1,49.0,52.3,1,Poor
85.8,4.0,88.7,80.3,56.1,7.5,4.9,70.8,75.5,1,Good
79.7,3.0,56.4,59.1,65.6,7.5,5.7,89.7,64.9,2,Average
92.7,6.2,86.6,84.7,77.4,5.5,3.0,100,64.6,0,Excellent
77.6,4.7,63.7,48.7,57.8,5.9,7.1,51.2,60.4,2,Average
82.5,4.6,84.7,78.1,86.5,6.6,3.7,73.0,65.9,1,Excellent
100,2.9,77.0,84.1,71.2,8.2,3.4,93.4,87.7,0,Excellent
100,6.9,74.6,85.2,69.2,7.4,4.1,68.3,66.6,2,Excellent
77.4,2.7,59.5,49.6,56.6,8.1,7.2,51.6,32.9,4,Poor
75.1,2.5,62.3,69.1,44.3,6.7,7.0,71.7,42.7,4,Poor
69.5,2.9,75.5,78.1,40.6,7.5,6.3,58.0,59.4,1,Average
70.6,1.7,55.6,45.1,40.7,8.0,7.0,52.5,24.4,1,Poor
68.8,0.5,69.1,59.2,53.6,8.0,7.5,42.1,35.0,2,Poor
90.0,5.3,76.4,86.6,75.4,6.0,0.6,100,79.4,0,Excellent
73.4,3.6,84.7,75.1,95.5,8.4,1.3,90.1,73.5,1,Excellent
86.1,3.2,68.1,100,58.5,8.9,6.4,83.1,56.2,1,Average
67.6,2.5,73.8,68.2,66.1,8.9,7.5,84.5,70.7,3,Average
91.0,2.7,64.2,53.4,65.6,8.2,3.8,68.6,62.9,1,Good
64.5,2.3,59.6,69.5,66.8,7.6,4.6,55.6,45.4,2,Average
73.5,1.1,67.5,54.6,60.7,7.1,6.1,51.2,41.1,3,Poor
78.1,0.6,51.9,55.2,39.3,8.0,7.0,57.7,51.5,4,Poor
84.6,2.2,65.1,63.9,69.1,9.2,5.3,51.5,63.7,2,Average
73.2,5.0,69.4,86.8,72.5,5.8,2.4,100,70.5,0,Excellent
82.7,1.8,74.4,54.3,58.8,7.5,6.4,45.8,52.1,4,Poor
58.6,0.5,36.1,29.7,41.4,8.7,5.4,36.7,46.4,3,Poor
97.7,3.8,69.5,83.3,73.9,5.9,2.9,65.1,49.4,1,Good
75.2,4.4,80.4,72.8,81.0,8.4,1.3,84.2,58.9,0,Good
65.6,2.0,61.4,45.2,46.5,8.0,3.8,51.4,38.9,2,Average
55.3,0.9,43.6,38.3,55.7,6.2,6.9,56.9,24.2,2,Poor
95.5,4.6,72.1,61.7,62.0,6.9,3.9,78.1,75.9,0,Excellent
69.3,3.4,47.5,59.5,59.0,5.3,8.4,43.1,28.8,4,Poor
73.8,2.1,75.8,69.8,63.9,6.2,7.4,68.9,51.6,2,Average
78.7,2.6,68.7,55.7,58.8,6.9,5.1,71.2,45.2,2,Average
82.7,5.6,74.3,85.4,83.7,7.5,4.5,82.0,87.1,2,Excellent
65.5,1.5,50.0,36.8,43.4,5.5,7.8,26.7,41.4,0,Poor
55.2,1.2,50.8,37.0,46.4,5.1,4.4,61.9,35.7,3,Poor
59.0,1.8,71.5,64.4,55.2,7.1,4.4,68.6,50.3,1,Average
83.2,4.7,81.9,68.3,91.0,6.4,2.6,88.3,58.8,0,Good
73.9,6.4,99.8,65.3,63.9,6.4,1.0,95.3,72.6,0,Excellent
75.1,0.5,70.0,46.8,62.0,5.8,4.0,67.4,46.2,1,Poor
66.8,0.7,58.4,65.7,52.7,5.7,5.6,53.8,34.4,4,Poor
65.6,2.6,68.3,43.1,41.6,7.8,3.7,55.9,21.3,3,Poor
74.2,2.9,68.9,58.1,55.4,4.8,3.9,62.1,52.8,4,Poor
84.8,2.8,66.5,73.6,57.1,7.1,7.6,66.8,17.2,2,Average
76.2,5.3,73.3,74.5,69.0,6.5,4.1,79.5,61.6,1,Good
79.4,4.6,61.3,70.2,62.4,6.1,4.4,92.1,54.3,0,Good
78.0,4.0,69.4,83.7,76.2,5.7,5.2,90.1,61.8,1,Good
73.9,2.0,64.5,51.5,48.9,6.3,5.6,62.8,65.4,1,Average
92.4,3.5,91.5,68.9,75.2,7.9,0.5,88.3,49.9,1,Good
63.7,2.6,62.1,35.0,49.8,5.7,4.9,75.3,61.6,3,Poor
73.0,7.9,78.6,90.9,80.4,6.8,0.5,100,72.1,1,Excellent
84.0,3.4,61.1,58.8,59.2,5.7,4.9,81.0,34.7,1,Average
55.3,0.5,44.0,47.7,40.6,7.8,5.4,75.2,32.6,2,Poor
98.0,2.3,76.2,92.6,68.6,8.0,3.9,100,79.1,0,Good
83.0,3.8,100,92.7,62.7,6.9,0.9,85.3,73.3,0,Excellent
63.7,2.8,59.3,61.2,76.1,5.5,6.7,54.5,40.2,4,Poor
74.5,1.0,38.7,58.1,47.8,7.4,8.5,54.1,38.0,4,Poor
73.4,4.7,64.0,87.8,74.2,7.0,5.1,63.9,65.8,1,Good
61.4,3.5,65.4,60.6,58.2,5.5,4.0,63.2,59.5,2,Average
87.2,3.3,68.9,49.2,48.5,6.3,8.8,67.9,48.6,0,Average
81.2,5.3,86.1,79.2,79.6,9.8,3.3,78.2,68.1,3,Good
75.6,5.1,72.3,77.5,61.6,7.4,5.0,84.6,51.5,0,Good
66.6,2.7,52.9,46.2,55.0,7.4,5.2,63.0,67.3,3,Average
72.8,6.6,74.9,74.9,83.5,9.0,1.8,57.9,37.7,0,Good
62.3,0.5,59.6,72.5,40.5,8.7,6.5,55.4,10.2,3,Poor
58.7,2.3,45.4,49.0,38.6,6.6,5.1,73.2,23.9,3,Poor
91.7,3.9,67.8,66.1,81.7,4.9,5.2,88.2,67.7,1,Good
64.5,2.2,55.2,70.6,82.2,6.8,7.3,73.4,74.3,1,Average
94.3,3.0,76.5,78.4,76.3,6.0,2.6,74.1,47.5,0,Good
79.1,3.7,73.7,74.5,74.6,9.0,3.0,94.2,51.6,0,Excellent
100,5.7,76.5,67.6,70.3,4.5,5.4,81.5,80.3,0,Excellent
86.8,6.2,81.8,75.2,68.9,6.7,3.4,87.3,71.7,1,Excellent
86.8,6.3,72.6,97.7,89.8,3.5,5.0,86.3,85.5,0,Excellent
89.9,3.7,72.1,54.0,74.3,8.2,0.8,84.9,58.1,0,Excellent
97.4,3.3,75.4,79.1,91.1,7.7,3.6,71.3,70.8,0,Excellent
90.8,4.3,98.1,84.8,81.1,8.4,4.1,82.9,78.7,0,Excellent
82.8,2.0,61.1,57.1,76.6,5.9,6.5,72.8,66.1,0,Average
85.0,7.1,76.0,71.4,81.5,6.7,3.5,84.3,57.7,1,Good
90.7,5.1,68.7,81.0,67.3,6.1,4.4,75.9,61.3,2,Good
86.6,4.3,99.4,80.9,73.4,6.3,2.6,100,72.9,0,Excellent
67.2,3.0,51.2,46.8,35.8,9.9,8.8,44.6,28.7,4,Poor
68.7,4.3,77.3,57.4,66.9,7.1,4.7,100,93.5,1,Good
94.0,3.3,71.5,61.5,74.6,8.2,4.7,69.1,45.8,2,Good
84.0,3.1,83.9,78.7,80.4,5.8,2.9,82.8,67.9,1,Good
75.6,0.5,47.9,58.7,51.9,7.2,6.9,54.7,34.0,2,Poor
62.2,1.7,51.0,49.1,69.2,8.0,8.2,61.1,21.4,2,Poor
90.2,4.7,72.0,68.7,49.9,6.7,1.7,52.7,58.1,2,Good
62.5,0.5,50.5,46.4,53.9,8.5,4.5,80.5,34.2,3,Poor
78.4,5.5,91.8,84.7,79.1,5.8,2.1,98.3,85.5,1,Good
64.5,2.1,51.2,35.6,44.0,7.0,5.8,66.4,30.6,3,Poor
77.1,4.6,84.5,88.0,71.9,7.1,3.7,93.9,67.5,1,Good
89.4,4.0,84.9,72.1,87.7,6.5,4.0,89.8,96.1,0,Excellent
77.3,0.7,51.2,42.2,62.1,6.4,4.6,75.6,38.5,4,Poor
97.2,4.4,57.7,77.0,84.7,8.4,4.2,78.3,36.2,2,Good
72.1,0.5,46.4,53.8,38.2,6.2,4.0,26.2,66.7,2,Poor
90.7,3.2,74.4,53.2,58.4,6.8,3.4,74.7,46.3,2,Good
76.2,2.2,57.1,68.0,55.7,7.6,4.2,90.5,37.5,2,Average
94.5,3.4,88.8,81.2,63.7,6.9,3.7,94.0,45.1,1,Excellent
72.6,4.5,58.2,55.8,83.8,4.3,5.5,70.6,46.0,2,Average
100,4.5,76.1,87.1,92.2,8.2,3.9,80.3,76.6,2,Excellent
76.8,3.9,66.2,60.8,76.3,7.1,3.5,95.3,25.2,4,Good
84.0,2.9,59.1,69.6,61.1,5.9,7.6,68.4,50.9,1,Average
75.7,3.7,55.2,57.7,68.8,6.9,4.9,58.5,40.4,4,Average
78.5,3.5,69.0,50.4,47.2,6.5,2.7,67.1,76.4,2,Average
72.1,4.5,60.0,45.0,63.4,7.0,7.7,74.5,77.1,3,Average
100,3.5,78.9,94.7,85.6,7.6,2.6,88.5,68.9,0,Excellent
64.1,2.9,63.4,67.2,65.8,6.9,7.1,80.2,58.0,0,Good
62.3,2.9,68.8,80.8,79.7,6.4,3.5,67.2,59.4,1,Average
81.7,5.7,81.0,85.8,86.2,5.3,2.9,100,71.6,0,Excellent
78.0,5.8,89.0,80.6,81.6,6.2,3.1,100,81.9,0,Excellent
64.0,0.5,50.4,37.9,48.4,6.8,7.0,28.6,32.7,4,Poor
94.5,6.3,81.5,85.3,92.9,7.1,3.2,97.1,58.2,0,Excellent
57.3,1.7,55.4,68.6,41.5,5.2,6.5,61.7,52.0,3,Poor
91.2,3.6,83.2,68.4,72.9,6.4,3.0,87.7,71.0,0,Excellent
93.7,5.1,55.2,73.1,82.6,6.1,0.5,68.1,69.0,0,Excellent
63.9,0.5,65.1,54.5,45.2,6.4,6.8,43.6,28.3,2,Poor
73.2,3.5,67.5,55.5,42.1,5.4,5.9,76.6,49.2,3,Average
97.2,5.5,90.3,75.4,73.3,5.2,1.3,87.3,63.5,0,Excellent
72.6,0.5,73.9,54.0,57.5,7.6,5.3,71.8,19.4,2,Poor
78.8,3.4,61.7,64.4,65.8,7.6,6.1,92.8,73.4,1,Good
96.9,2.9,71.9,68.4,48.0,6.0,5.1,76.8,56.1,1,Average
78.1,4.5,81.1,69.6,82.6,8.1,7.0,50.7,71.1,0,Good
57.8,1.0,46.6,41.2,64.8,9.3,8.1,57.5,54.4,2,Poor
66.9,3.0,72.9,55.5,69.2,6.7,7.7,53.3,50.5,2,Average
66.6,0.7,63.4,35.6,43.8,7.8,10.3,44.3,28.7,4,Poor
69.7,2.7,69.4,72.7,60.3,8.4,7.2,91.9,51.6,2,Average
69.1,0.5,58.9,58.5,50.1,7.4,5.8,67.2,56.6,1,Poor
54.9,0.5,48.5,33.5,55.2,7.0,8.6,52.3,32.9,3,Poor
70.1,0.8,54.4,30.0,77.2,8.2,6.6,74.9,43.1,1,Poor
68.5,0.5,53.5,56.4,35.3,7.7,7.0,70.5,24.5,2,Poor
71.9,0.5,66.5,56.2,53.5,7.4,4.4,70.2,45.5,3,Poor
94.6,6.1,89.8,75.2,78.9,7.7,2.5,95.1,79.2,0,Excellent
96.7,4.5,73.2,70.0,83.1,6.5,4.1,91.2,79.2,0,Excellent
87.2,3.0,66.8,61.5,89.8,4.6,2.8,84.0,67.7,3,Average
91.5,2.8,77.3,59.3,59.5,8.0,4.4,62.0,53.9,2,Average
72.2,0.5,38.3,60.7,38.0,5.0,7.2,52.1,11.1,4,Poor
76.4,1.2,55.8,38.6,48.6,8.5,7.0,53.5,48.4,2,Poor
63.4,2.3,79.5,82.5,46.1,6.9,6.4,62.5,49.2,1,Average
73.3,6.4,100,67.6,92.5,5.5,1.9,98.9,69.3,0,Excellent
68.2,2.9,65.8,59.7,65.1,10,4.9,47.0,64.2,3,Average
60.2,0.6,64.4,69.1,49.5,6.9,10.0,61.0,33.6,4,Poor
90.5,1.5,48.9,56.9,52.0,6.5,3.7,75.0,45.9,2,Average
68.6,0.6,43.1,66.3,50.3,5.6,5.4,44.0,55.7,2,Poor
69.9,1.2,56.0,46.6,27.5,8.7,5.9,63.2,48.7,2,Poor
62.0,2.3,57.3,57.2,35.8,8.3,7.3,53.5,30.3,2,Poor
72.7,2.5,54.7,59.4,50.3,5.4,5.8,58.6,44.3,1,Poor
62.9,0.5,44.1,76.4,75.2,10,4.7,48.4,42.5,4,Poor
83.4,4.4,70.2,68.0,53.0,6.5,3.7,85.0,60.4,0,Good
77.7,0.6,70.0,23.0,42.3,7.1,5.2,57.8,35.8,3,Poor
71.6,4.7,61.5,59.7,63.7,7.0,3.0,79.9,32.4,1,Good
92.2,5.8,79.5,72.2,83.3,8.0,4.1,100,58.1,2,Excellent
86.4,3.7,61.2,79.0,63.4,7.0,4.7,79.5,56.6,4,Good
65.7,0.6,73.4,53.3,55.8,6.8,4.8,70.2,41.9,2,Average
58.2,3.7,60.3,65.4,64.0,6.3,7.2,62.3,49.7,3,Average
79.0,3.2,83.9,93.1,90.4,7.3,3.3,66.7,82.8,1,Good
83.3,4.7,80.2,100,87.5,8.2,5.9,100,78.2,0,Excellent
80.3,5.3,69.7,72.0,80.3,6.1,6.5,82.5,84.0,1,Good
93.2,4.3,70.6,76.7,76.9,7.3,4.8,80.1,61.1,1,Good
82.8,2.8,81.1,61.9,65.0,7.7,6.0,66.4,50.5,1,Average
66.4,4.2,37.8,38.6,43.6,9.1,8.2,56.6,49.0,2,Average
82.5,1.5,62.8,65.2,67.6,7.7,4.7,61.1,44.1,2,Poor
71.2,0.5,34.9,52.2,56.3,7.0,1.7,53.4,31.3,2,Average
82.7,1.5,63.5,66.8,75.7,6.5,6.1,70.0,55.8,3,Average
58.5,0.6,57.4,62.6,41.6,7.1,5.8,67.7,40.8,4,Poor
80.4,2.5,60.5,62.4,44.5,8.9,7.7,62.3,29.8,3,Poor
87.6,5.1,77.3,72.1,65.7,6.6,1.8,56.5,57.8,0,Excellent
65.3,2.6,51.0,33.7,59.1,8.1,8.9,62.3,61.7,3,Poor
89.0,2.8,62.5,81.8,63.5,6.8,8.6,53.1,55.1,2,Average
87.8,4.8,76.7,96.1,87.0,5.3,2.9,59.3,78.4,0,Excellent
55.8,0.5,54.8,58.2,48.5,7.9,6.3,37.8,40.3,2,Poor
84.9,4.2,81.2,89.6,82.5,7.5,4.2,71.0,64.6,0,Excellent
63.2,1.4,65.8,43.8,48.9,9.1,3.9,78.1,53.1,1,Average
82.4,4.4,69.5,72.2,80.9,7.2,4.2,94.9,67.7,0,Excellent
84.4,3.5,82.3,57.6,62.1,9.5,3.4,46.7,55.1,4,Average
67.6,0.5,64.0,48.4,49.6,7.5,7.3,51.1,36.0,4,Poor
72.2,1.2,60.5,64.2,66.1,6.7,4.7,52.6,51.5,1,Average
77.8,3.9,88.1,71.0,66.9,7.6,2.9,84.6,73.4,0,Excellent
74.1,0.5,70.1,60.8,54.6,9.2,4.6,70.0,48.2,1,Average
88.3,4.6,82.1,62.6,66.0,8.4,4.2,78.1,81.2,0,Excellent
84.6,2.1,75.0,73.3,87.0,5.7,5.1,93.7,67.8,1,Good
80.0,5.9,81.2,73.6,78.0,7.5,4.5,87.7,80.0,0,Excellent
64.0,2.6,57.9,77.1,93.4,7.0,4.4,80.8,67.7,1,Good
66.9,1.0,59.6,67.0,42.1,8.3,5.9,49.5,31.8,4,Poor
89.3,4.9,88.7,78.2,88.1,7.0,6.6,88.2,76.4,0,Excellent
70.6,2.8,53.5,49.4,57.8,8.3,5.6,69.1,66.7,2,Average
72.5,2.9,59.5,66.2,52.9,7.1,6.2,67.6,55.0,3,Average
64.1,0.6,72.3,43.9,53.7,6.3,7.1,53.9,27.7,3,Poor
66.1,5.8,95.7,86.3,80.8,6.8,0.5,89.4,49.0,0,Excellent
76.5,5.4,82.1,79.2,59.9,7.5,4.4,73.0,61.5,4,Good
91.4,4.9,70.0,62.7,75.1,6.1,3.0,71.1,47.5,2,Good
67.5,0.5,53.2,54.3,54.8,8.1,10.0,57.5,23.5,3,Poor
65.9,2.5,55.0,55.4,63.0,7.4,6.1,70.6,50.9,4,Poor
